Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шухевич,Ірина,Костянтинівна,female,1950-06-23,Фінансовий аналітик,селище Хотин,"площа Лінійна, буд. 9 кв. 758, Південне , 89720",038 677-42-40,nestorzabarnyi@example.net
Луценко,Леонід,Данилович,male,1952-06-30,Менеджер з продукту,місто Сарни,"узвіз Івахненка Петра, буд. 714 кв. 12, Ізяслав, 43261",070 237 59 80,zorian65@example.org
Оніщук,Адам,Володимирович,male,1975-02-07,Аналітик даних,селище Скалат,"площа Академіка Богатського, буд. 570 кв. 685, Армянськ, 22955",+380 (90) 480-33-70,symonpetrenko@example.com
Засенко,Аврелій,Олександрович,male,1942-05-22,Кадровий менеджер,хутір Семенівка,"провулок Данькевича, буд. 467 кв. 60, Вилкове, 34720",355 25 62,bevzroman@example.net
Луценко,Камілла,Михайлівна,female,1965-03-10,Дизайнер,село Авдіївка,"шосе Дорбуду, буд. 255, Біла Церква, 81047",010 999-88-31,amaliiahavrylenko@example.net
Тичина,Григорій,Васильович,male,1969-05-18,Менеджер з продажу,хутір Бершадь,"парк Глазунова 1-й, буд. 420 кв. 9, Корюківка, 39085",837-17-70,xtereshchenko@example.org
Зінченко,Миколай,Марківич,male,2003-07-05,Фінансовий аналітик,місто Богуслав,"провулок Сталепрокатна, буд. 463, Слов'янськ, 25502",+380 49 472-26-35,varvara52@example.org
Шило,Аврелій,Володимирович,male,1948-10-17,Менеджер з продажу,хутір Кременець,"набережна Олександра Невського 1-й, буд. 803 кв. 4, Пирятин, 15679",456-61-37,adabaida@example.net
Юхименко,Ярема,Андрійович,male,1979-09-25,Тестувальник,хутір Дніпро ,"шосе Одеська, буд. 088 кв. 9, Монастириська, 43162",+380 (69) 359-43-47,atroshchenkotymofii@example.org
Матяш,Віталій,Юрійович,male,2006-05-05,Менеджер з продукту,хутір Соледар,"набережна Об'їзна дорога, буд. 91 кв. 42, Південне , 09915",899 30 49,hrytsenkopriska@example.org
Ковпак,Маруся,Давидівна,female,1992-11-12,Аналітик даних,село Ялта,"узвіз Соляний 6-й, буд. 495, Оріхів, 79139",+380 97 119 39 95,kshyian@example.net
Микитюк,Олена,Кирилівна,female,1987-02-05,Офіс-менеджер,селище Тальне,"набережна Гладкова, буд. 505 кв. 44, Коломия, 11174",+380 (16) 480-59-85,vakhniipavlo@example.org
Ляшко,Орина,Костянтинівна,female,1969-07-09,Копірайтер,село Хрустальний,"площа Юннатів, буд. 3 кв. 505, Сокаль, 21488",+380 59 772 38 87,hvakulenko@example.org
Іващенко,Ліза,Василівна,female,2008-07-07,PR-менеджер,селище Теребовля,"узвіз Леваневського, буд. 07, Угнів, 29584",+380 15 590-93-89,stanislav09@example.com
Мамчур,Спас,Григорійович,male,2005-01-05,HR-менеджер,хутір Жовква,"проспект Лип Івана та Юрія, буд. 14, Дубровиця, 92345",+380 88 501-52-13,tchmil@example.net
Данько,Антон,Ігорович,male,2004-06-07,Аналітик даних,місто Міусинськ,"узвіз Гвоздична, буд. 091, Ічня, 23942",+380 38 165-42-24,kanivetsheorhii@example.org
Андрієвич,Гаврило,Борисович,male,2007-05-17,Інженер з якості,селище Семенівка,"вулиця Маланова, буд. 1 кв. 94, Тараща, 26614",+380 28 196 71 77,khrystenkomariia@example.net
Стус,Василь,Марківич,male,1978-11-13,Асистент керівника,селище Ровеньки,"площа Аеропортівський 4-й, буд. 939 кв. 05, Гірник , 37319",533 74 11,qriabchenko@example.org
Стельмах,Орхип,Романович,male,1972-04-22,Інженер з якості,селище Великі Мости,"вулиця Грузовий, буд. 341 кв. 08, Звенигородка, 93208",+380 85 711-33-00,solomiiachalenko@example.org
Копитко,Ольга,Олександрівна,female,1976-07-19,Аналітик даних,хутір Володимир-Волинський,"сквер Ювілейний 1-й, буд. 1 кв. 880, Погребище, 55233",221-82-55,andrii25@example.org
Василенко,Борислав,Кирилович,male,1983-01-01,Архітектор,хутір Житомир,"провулок Сливова, буд. 44 кв. 2, Вишневе , 58349",+380 (37) 636-17-27,marta38@example.org
Іванченко,Опанас,Леонідович,male,1970-08-13,Менеджер з закупівель,хутір Ватутіне,"площа Об'їзна дорога, буд. 06 кв. 05, Заводське, 20113",+380 18 359-23-79,onufriienkoleon@example.com
Бабійчук,Ярина,Василівна,female,1998-07-06,Асистент керівника,хутір Сновськ,"сквер Лінія 52-га, буд. 126 кв. 60, Горохів, 56883",048 401 73 67,bparasiuk@example.net
Габелко,Галина,Данилівна,female,1945-07-25,Копірайтер,місто Кадіївка,"провулок Строганов міст, буд. 815 кв. 88, Татарбунари, 97215",014 119-44-54,haidaburazynovii@example.org
Єрошенко,Демид,Тимофійович,male,2005-10-08,Архітектор,хутір Кобеляки,"узвіз Яблучна, буд. 3, Запоріжжя, 84273",+380 (79) 022-55-73,liza93@example.net
Тригуб,Ганна,Давидівна,female,2003-04-18,Копірайтер,селище Остер ,"провулок Костанді 2-й, буд. 221, Устилуг, 74512",390 91 69,demyd25@example.org
Терещенко,Микита,Максимович,male,2006-06-17,Аналітик даних,село Тетіїв,"площа Некрасова, буд. 4, Макіївка, 37930",+380 43 720-58-59,irena04@example.org
Байдак,Соломон,Тимофійович,male,1996-11-23,Асистент керівника,село Помічна,"парк Матроський узвіз, буд. 607, Знам'янка, 65064",+380 64 327-51-17,antonshvachko@example.net
Жарко,Іван,Данилович,male,1940-10-27,Аудитор,село Луганськ,"набережна Торгова, буд. 685 кв. 918, Охтирка, 96651",+380 (74) 124-45-75,nkorolenko@example.org
Дутка,Юстим,Станіславович,male,1974-09-20,Тестувальник,місто Шаргород,"узвіз Лиманчик 2-й Лінія 11-та, буд. 74 кв. 577, Петрово-Красносілля, 40404",+380 81 522-40-08,valeriichornovil@example.net
Сич,Орина,Романівна,female,1986-04-10,Бухгалтер,місто Кагарлик,"шосе Теліги Олени, буд. 22 кв. 8, Новомиргород, 05222",+380 94 071-74-33,tlahoda@example.org
Батуринець,Арсен,Леонідович,male,1955-10-06,Фінансовий аналітик,місто Ізмаїл,"проспект Рєпіна, буд. 991 кв. 727, Баранівка, 48453",+380 (74) 434-43-46,rakherman@example.com
Вакарчук,Ярема,Олександрович,male,1980-05-01,Кадровий менеджер,хутір Татарбунари,"вулиця Рєпіна, буд. 5, Нікополь, 75032",+380 78 081-44-97,ytokar@example.org
Гузь,Спас,Андрійович,male,1941-05-24,Архітектор,хутір Володимир-Волинський,"шосе Профспілкова, буд. 780, Вилкове, 91365",404 91 39,iaryna94@example.com
Гресь,Людмила,Тимофіївна,female,1957-03-25,Дизайнер,село Покров,"набережна Восьмого березня 3-й, буд. 7, Монастирище, 67071",+380 56 531-29-46,klyment97@example.com
Рак,Герман,Григорійович,male,1979-09-23,Копірайтер,селище Чернігів,"шосе Черешнева, буд. 5, Кривий Ріг, 07277",+380 74 128 92 80,kozakvioletta@example.org
Теличенко,Давид,Федорович,male,1989-09-28,Бухгалтер,село Алчевськ,"сквер Пушкінська, буд. 10 кв. 53, Святогірськ, 06005",924 02 43,khrystynaonyshchenko@example.net
Фартушняк,Сніжана,Андріївна,female,1963-08-04,Менеджер з маркетингу,селище Ірпінь,"шосе Академіка Гаркавого, буд. 02, Богуслав, 27024",084-54-69,stepanskyrda@example.net
Алексюк,Григорій,Остапович,male,2000-05-04,Аудитор,хутір Щастя ,"набережна Вишневий, буд. 17 кв. 1, Чуднів, 80902",938 84 61,bmedvedenko@example.com
Дашкевич,Марія,Мар'янівна,female,1997-03-30,Фінансовий аналітик,село Вашківці,"проспект Лізи Чайкіної, буд. 5, Олевськ, 83789",+380 (45) 948-37-92,tsymbalirena@example.com
Скиба,Аніта,Мар'янівна,female,1948-10-05,Програміст,місто Зборів,"площа Болградська, буд. 7, Белз, 94761",+380 39 083-68-40,ebazylevskyi@example.com
Карпенко,Марко,Васильович,male,1950-01-10,Інженер з якості,селище Привілля,"площа Цимлянська, буд. 4, Борислав, 03199",+380 60 891-64-17,yfastenko@example.org
Овсієнко,Адам,Назарович,male,1999-12-01,Менеджер з продукту,селище Зоринськ,"узвіз Дунаєва, буд. 71, Кіцмань, 14580",007 896 69 10,symonenkodemyd@example.org
Токар,Леонтій,Тимофійович,male,1943-02-10,Копірайтер,хутір Вишгород,"узвіз Залізнична, буд. 1, Зіньків, 26093",237-94-79,smykvladyslav@example.com
Сімашкевич,Едита,Мар'янівна,female,1984-08-25,Тестувальник,хутір Скадовськ,"шосе Аеродромна, буд. 5, Першотравенськ, 94209",084 800 36 11,alevtyn97@example.net
Теліженко,Хома,Михайлович,male,1970-09-03,Інженер з якості,село Монастирище,"провулок Селищна, буд. 02, Тлумач, 01827",092 536-61-74,ruslan02@example.org
Цюпа,Станіслав,Назарович,male,1977-05-21,Дизайнер,селище Зимогір'я,"провулок Шкільний, буд. 771, Тульчин, 87323",+380 79 732-42-02,jshevchenko@example.net
Самойленко,Олег,Тимофійович,male,2002-05-10,Архітектор,селище Сніжне,"сквер Шевченка, буд. 49, Кальміуське, 90451",+380 36 085-81-91,iukhymprykhodko@example.com
Хомик,Стефан,Володимирович,male,1965-01-28,Менеджер з продукту,місто Прип'ять ,"провулок Ломоносова, буд. 300, Селидове, 21971",+380 66 622-03-19,iustymdavydenko@example.net
Михалюк,Лариса,Олексіївна,female,1991-05-27,Офіс-менеджер,село Хирів,"площа Трамвайний, буд. 1 кв. 436, Алупка, 68310",+380 20 953-88-61,kabaliukliza@example.net
Дубас,Марта,Григоріївна,female,1983-12-26,Менеджер з закупівель,місто Кремінна,"парк Обільна, буд. 7, Бунге , 65981",395-97-13,iakivvasylenko@example.com
Архимович,Валерій,Вікторович,male,1941-04-04,Програміст,місто Сміла,"площа Пестеля, буд. 7, Бориспіль, 74405",+380 09 518 41 52,sviatoslava44@example.net
Килимник,Аркадій,Петрович,male,1943-06-24,Офіс-менеджер,хутір Узин,"набережна Яблочкіної, буд. 685 кв. 2, Монастириська, 27297",741-20-42,stefanieremenko@example.com
Удовенко,Дмитро,Васильович,male,1961-12-17,Кадровий менеджер,село Валки ,"площа Павла Шклярука, буд. 48 кв. 54, Маріуполь, 31755",997 72 25,erika83@example.net
Нестеренко,Галина,Вікторівна,female,1943-05-16,Аналітик даних,село Вінниця,"узвіз Станційна 3-тя, буд. 1, Гайворон, 77177",066 635 24 47,feofan09@example.net
Гавриленко,Світлана,Станіславівна,female,1961-02-13,Програміст,місто Вашківці,"провулок Хвойний, буд. 95 кв. 5, Звенигородка, 94691",041 320-26-44,zhaivoronirena@example.net
Шеремет,Костянтин,Остапович,male,1977-01-28,Копірайтер,селище Кам'янець-Подільський,"узвіз Бузковий 1-й, буд. 678 кв. 12, Очаків, 16437",294-58-21,zvashchenko-zakharchenko@example.com
Артим,Ярослава,Романівна,female,1994-05-06,Копірайтер,хутір Буринь,"узвіз Балтський 4-й, буд. 271, Снятин, 18226",+380 57 206 61 54,telizhenkosofiia@example.net
Приходько,Спас,Борисович,male,1967-07-20,Дизайнер,хутір Алушта,"проспект Гагаріна, буд. 33 кв. 045, Могилів-Подільський, 62996",560-59-53,boryslav94@example.com
Атрощенко,Антон,Кирилович,male,1964-03-13,Інженер з якості,селище Вилкове,"провулок Академіка Богатського, буд. 19 кв. 66, Феодосія, 80442",081 112-21-33,vbaidak@example.com
Данильчук,Геннадій,Геннадійович,male,1970-11-02,Дизайнер,селище Монастириська,"узвіз Люстдорфська дорога, буд. 1, Долина , 54965",+380 78 704 63 39,ielyseikorpaniuk@example.com
Чалий,Людмила,Олександрівна,female,1996-01-10,HR-менеджер,місто Новий Калинів,"шосе Шишкіна, буд. 34 кв. 434, Сколе, 63902",088 390 16 94,vdovychenkoiaroslava@example.net
Ажажа,Теодор,Сергійович,male,1967-01-03,Програміст,селище Сєвєродонецьк,"шосе Академіка Глушка, буд. 828 кв. 59, Славута, 13095",+380 11 677-28-19,vladyslavdanchenko@example.com
Бебешко,Ірина,Мар'янівна,female,1939-04-12,Архітектор,хутір Тальне,"сквер Лінія 31-ша, буд. 0, Лутугине, 42030",+380 (87) 502-12-14,jstets@example.org
Рудько,Ольга,Тарасівна,female,2000-08-06,Асистент керівника,хутір Балаклія,"шосе Різдвяна, буд. 0, Люботин, 75443",+380 40 025 18 31,bchernenko@example.org
Лупій,Леонтій,Назарович,male,1968-11-03,Інженер з якості,місто Вашківці,"сквер Маршала Говорова, буд. 11, Тульчин, 20064",+380 79 525-18-62,ckylymnyk@example.com
Рева,Микита,Олександрович,male,1985-06-22,HR-менеджер,місто Дубляни,"сквер Лодочний, буд. 13, Теребовля, 48910",+380 93 819-62-24,bandurastanislav@example.net
Вертипорох,Розалія,Тарасівна,female,2008-02-28,HR-менеджер,хутір Підгайці,"набережна Вірського, буд. 07, Зіньків, 79215",748-60-41,ziaremenko@example.com
Карась,Василина,Марківна,female,1974-06-19,Менеджер з маркетингу,селище Чугуїв,"проспект Нафтовиків, буд. 6, Обухів, 97889",+380 (68) 659-88-49,cpushkar@example.org
Гайдамака,Аарон,Ігорович,male,1989-10-17,Асистент керівника,село Новоград-Волинський,"площа Романтичний, буд. 9, Амвросіївка, 56157",+380 38 238-05-69,martaradchenko@example.org
Ващенко,Марина,Геннадіївна,female,1955-02-23,Фінансовий аналітик,селище Долина ,"сквер Авангардна, буд. 2 кв. 4, Вознесенськ, 58899",+380 02 016 46 61,ostapchukiustyna@example.net
Мірошниченко,Сергій,Назарович,male,1995-02-27,Програміст,селище Вознесенськ,"набережна Привокзальний, буд. 16, Березань , 94865",782 02 72,kaleksiuk@example.org
Наливайко,Розалія,Романівна,female,1981-08-13,Кадровий менеджер,селище Ірміно,"площа Степна, буд. 096, Зугрес, 39709",+380 (48) 982-37-72,volodymyrhuzenko@example.com
Іщенко,Одарка,Ігорівна,female,1993-05-09,Тестувальник,місто Сколе,"набережна Амурський 3-й, буд. 7, Ворожба, 73071",+380 (17) 179-13-92,nestaikotetiana@example.net
Вахній,Еріка,Давидівна,female,1940-07-19,Бухгалтер,село Канів,"сквер Економічний, буд. 12 кв. 064, Берислав, 65007",+380 (32) 476-51-41,bohodarskopenko@example.net
Годунок,Володимир,Денисович,male,1981-11-20,HR-менеджер,хутір Белз,"провулок Залізнична, буд. 97 кв. 3, Перевальськ, 38843",+380 63 776 15 56,demianiukdanna@example.org
Чумаченко,Гліб,Денисович,male,1989-08-20,Менеджер з закупівель,місто Тальне,"вулиця Косовський, буд. 116, Токмак, 58280",+380 39 591-41-67,emiliia79@example.com
Піддубний,Пармен,Захарович,male,1979-02-10,Офіс-менеджер,хутір Чернігів,"вулиця Ліверпульський, буд. 874, Феодосія, 63971",047 832 59 84,kvasylenko@example.com
Рябошапка,Клавдія,Борисівна,female,1939-05-10,Інженер з якості,хутір Городок,"узвіз Стамбульський, буд. 562 кв. 64, Кам'янець-Подільський, 65647",+380 48 214-49-18,mdzhun@example.net
Годунок,Данна,Володимирівна,female,1944-04-10,Менеджер з продажу,хутір Балаклія,"набережна Калнишевського Петра, буд. 18, Красилів, 48554",996-85-05,valentyn21@example.com
Гавриш,Тереза,Юріївна,female,1991-12-14,Програміст,місто Южноукраїнськ,"провулок Восьмого Березня Лінія 1-ша, буд. 12 кв. 810, Шаргород, 28173",036 228 63 40,zorianbashpolchenko@example.com
Черінько,Данна,Геннадіївна,female,1965-04-30,Фінансовий аналітик,місто Іллінці,"узвіз Новикова, буд. 84, Овруч, 09468",+380 (12) 580-87-07,oierchenko@example.com
Сірченко,Ірина,Олександрівна,female,1943-06-28,Асистент керівника,село Гребінка,"проспект Центральна, буд. 695, Джанкой, 70346",+380 37 392-85-48,gturkalo@example.org
Бакуменко,Ілля,Федорович,male,1994-01-16,Менеджер з продукту,селище Географія Вільнянська,"шосе Першотравневий 1-й, буд. 8, Брянка, 15720",319-89-30,derehusmaryna@example.org
Перепелиця,Орест,Романович,male,1996-04-06,Асистент керівника,хутір Красноград,"площа Станційна 2-га, буд. 5 кв. 771, Ізюм, 02804",+380 74 222 98 45,prokhir15@example.net
Овсієнко,Володимира,Ярославівна,female,2003-06-17,Менеджер з закупівель,село Вовчанськ,"узвіз Литовська, буд. 981 кв. 513, Новгород-Сіверський, 94061",042 024-97-44,rozaliialesyk@example.org
Тихий,Георгій,Марківич,male,1939-02-06,Тестувальник,місто Суходільськ,"проспект Тупиковий 2-й, буд. 35 кв. 8, Бершадь, 05457",006 167 45 10,iukhymarsenych@example.org
Артимович,Тимофій,Тарасович,male,2001-03-29,Системний адміністратор,місто Козятин,"проспект Висока, буд. 361 кв. 81, Болехів, 78209",001 60 87,khmaramartyn@example.com
Жаліло,Оксана,Данилівна,female,1967-07-01,Аудитор,село Красноград,"сквер Левадна, буд. 1, Борислав, 36577",976-47-71,ghaivoronskyi@example.net
Ткаченко,Азар,Тарасович,male,1992-05-15,Менеджер з маркетингу,селище Костянтинівка,"площа Сосюри, буд. 06 кв. 658, Старокостянтинів, 27874",037 510-33-37,pavlykmykhailyna@example.org
Носаченко,Максим,Станіславович,male,1995-08-30,Менеджер з маркетингу,селище Новогродівка,"провулок Грибоєдова, буд. 905 кв. 2, Яготин, 75621",+380 94 638 91 39,aprotsenko@example.com
Саєнко,Петро,Павлович,male,1982-02-24,Асистент керівника,село Тальне,"провулок Волзький, буд. 25, Боярка, 99088",+380 04 816-05-85,bohuslavavashchenko@example.org
Юхименко,Захар,Петрович,male,1942-03-04,Аудитор,хутір Хоростків,"узвіз Коблевська, буд. 40, Ватутіне, 57850",+380 82 086-76-37,qtsymbal@example.org
Єщенко,Олександр,Вікторович,male,1966-01-02,Аналітик даних,селище Здолбунів,"провулок Леваневського тупик, буд. 872, Мирноград, 45196",+380 (11) 174-32-18,ztiahnybok@example.org
Доценко,Ілля,Петрович,male,1982-03-27,Кадровий менеджер,місто Новий Розділ,"провулок Стовпова, буд. 819, Рава-Руська, 67396",008 245-81-35,eduard38@example.org
Єременко,Гаврило,Леонідович,male,1977-09-14,Менеджер з продукту,селище Перевальськ,"узвіз Суднобудівна, буд. 265 кв. 0, Зугрес, 56121",516-86-68,svitlana08@example.com
Вовк,Ольга,Зеновіївна,female,1987-01-08,Менеджер з продажу,хутір Комарно,"вулиця Аеродромна, буд. 7 кв. 242, Гуляйполе, 68922",007 359-14-82,obaklan@example.com
Дубенко,Камілла,Олександрівна,female,1976-06-09,Кадровий менеджер,хутір Яремче,"шосе Новий, буд. 61, Заліщики, 28488",699 81 85,korzhmakar@example.org
Іваничук,Пріска,Петрівна,female,1967-12-10,Тестувальник,селище Ланівці,"парк Пейзажна, буд. 889, Новий Розділ, 72350",093 344-40-76,panas17@example.org
Корсун,Кирило,Геннадійович,male,1993-03-12,Системний адміністратор,селище Бучач,"площа Литовська, буд. 356, Городище , 26472",029 51 15,deinekaorysia@example.org
Мазур,Пантелеймон,Володимирович,male,1948-07-13,Аудитор,село Первомайськ,"набережна Лиманчик 2-й Лінія 1-ша, буд. 649, Красногорівка, 91845",076 400-35-27,volodymyr71@example.net
Вернидуб,Ярослава,Олексіївна,female,1950-02-06,Копірайтер,хутір Фастів,"провулок Пассіонарії, буд. 903 кв. 9, Залізне, 17687",918 11 87,sivanchenko@example.org
Панчук,Прохір,Олексійович,male,2008-08-05,Архітектор,селище Богодухів,"проспект Приморська, буд. 49, Балаклія, 64090",525 19 65,tvitruk@example.net
Батюк,Августин,Остапович,male,1961-02-14,Менеджер з закупівель,селище Новодністровськ,"площа Коблевська, буд. 907 кв. 006, Долина , 71689",+380 30 983-02-04,kyrylohaidai@example.org
Василенко,Сніжана,Василівна,female,1944-02-16,HR-менеджер,місто Семенівка,"набережна Терещенка Володимира, буд. 8, Суми, 15710",+380 71 836-65-97,snizhanamasliak@example.org
Атрощенко,Мартин,Михайлович,male,1948-08-21,Асистент керівника,місто Могилів-Подільський,"парк Бориса Літвака, буд. 495, Шепетівка, 94973",+380 (36) 243-72-58,atroshchenkoarsen@example.net
Скоробогатько,Лесь,Володимирович,male,1953-08-18,Менеджер з продажу,село Олевськ,"парк Академіка Корольова, буд. 7, Бобринець, 90693",089 020-86-74,vdovenkosolomiia@example.com
Байрак,Ірина,Зеновіївна,female,1951-04-24,Аудитор,хутір Федорівка,"провулок Усатівська, буд. 359, Чоп, 87164",+380 69 154-92-52,valenkoliza@example.org
Батуринець,Леонід,Юрійович,male,1965-04-08,Менеджер з закупівель,село Погребище,"набережна Морська, буд. 9, Комарно, 27786",+380 39 331 22 66,pylypmykytiuk@example.org
Романець,Галина,Євгенівна,female,1980-02-18,Менеджер з закупівель,хутір Шпола,"парк Отамана Чепіги, буд. 6 кв. 2, Бурштин , 36530",010 909-24-98,vira66@example.com
Скирда,Володимир,Ярославович,male,1997-09-03,Менеджер з продукту,селище Новомосковськ,"проспект Басейний 1-й, буд. 536, Рубіжне, 67827",025 093-09-45,kolesnychenkoanastasiia@example.com
Товстуха,Адам,Кирилович,male,1941-11-19,Менеджер з закупівель,місто Джанкой,"провулок Цебриківська, буд. 417, Дрогобич, 22462",088 970 39 17,xdashkevych@example.org
Панчук,Юхим,Михайлович,male,1954-05-19,Менеджер з продукту,хутір Стрий,"проспект Богуна, буд. 8 кв. 001, Українськ, 45457",+380 (51) 405-40-83,iustymmalyshko@example.org
Андрусенко,Антон,Мар'янович,male,1941-04-14,Системний адміністратор,хутір Каховка,"узвіз Лесі Українки, буд. 69 кв. 784, Гайворон, 13902",+380 83 129 25 67,nestor51@example.com
Чаленко,Мирон,Олегович,male,1978-08-22,Аудитор,селище Жашків,"площа Листяна, буд. 0, Нікополь, 64383",098 538-08-34,zynoviivashchenko@example.com
Даньків,Демид,Назарович,male,1940-04-17,Копірайтер,хутір Сватове,"проспект Павла Кравцова, буд. 57, Апостолове, 70629",042 815 25 83,oleh38@example.com
Макогон,Оксенія,Олександрівна,female,1988-07-05,Тестувальник,місто Кам'янка-Бузька,"вулиця Водопровідний 3-й, буд. 8 кв. 1, Заводське, 50501",+380 44 720 86 32,ddevdiuk@example.com
Ванченко,Валерій,Зеновійович,male,1990-05-02,Бухгалтер,місто Хуст,"парк Академіка Гаркавого, буд. 4, Кипуче, 70635",+380 70 107 58 63,wnestaiko@example.net
Франчук,Геннадій,Іванович,male,1959-02-22,Офіс-менеджер,село Бунге ,"проспект Кострова, буд. 1 кв. 03, Ічня, 30283",+380 81 445-46-30,sviatoslava93@example.org
Єрошенко,Соломія,Петрівна,female,1968-01-18,Менеджер з продажу,місто Вільногірськ,"шосе Вузький, буд. 700, Славута, 34744",129-49-84,orkhyp50@example.org
Заїка,Єлисавета,Іванівна,female,1976-09-14,Аудитор,село Лозова ,"площа Шота Руставелі, буд. 3 кв. 91, Дубровиця, 58901",027 318-82-19,varfolomii02@example.org
Андріїшин,Борислав,Леонідович,male,1993-07-26,Бухгалтер,селище Білогірськ,"шосе Басейний 4-й, буд. 78 кв. 88, Гірник , 33615",+380 89 548-59-30,wpylypenko@example.net
Артимович,Тереза,Вікторівна,female,1938-03-08,Менеджер з закупівель,селище Хирів,"проспект Іспанська, буд. 58, Тальне, 56321",+380 (90) 245-18-58,vakulenkomilena@example.net
Михалюк,Софія,Михайлівна,female,1981-04-25,PR-менеджер,місто Ватутіне,"проспект Ветеранів праці, буд. 8 кв. 58, Батурин, 81230",353 64 23,adamenkosemen@example.com
Данилюк,Аврелій,Андрійович,male,1980-12-14,Аудитор,село Тернопіль,"парк Смоленська, буд. 255 кв. 0, Нова Каховка, 15143",039 198 85 48,ibevzenko@example.org
Дзиндра,Теодор,Леонідович,male,1971-09-13,Офіс-менеджер,селище Бахмач,"шосе Восьмого березня 2-й, буд. 5, Баранівка, 58323",+380 59 427-50-26,albina11@example.com
Засуха,Христина,Григоріївна,female,1998-07-27,Архітектор,хутір Луганськ,"вулиця Пастера, буд. 95, Тростянець, 55848",+380 (01) 995-06-95,szhalilo@example.org
Давиденко,Руслан,Юрійович,male,1966-08-19,Інженер з якості,хутір Мирноград,"сквер Нерубайська, буд. 5 кв. 3, Дружківка, 97201",064 366 06 74,mtelychenko@example.net
Аверченко,Мартин,Кирилович,male,1941-08-13,Асистент керівника,хутір Узин,"проспект Лесі Українки, буд. 741, Верхньодніпровськ, 01209",+380 (12) 775-96-27,makohonkamilla@example.com
Прокопович,Данило,Кирилович,male,1984-02-23,Фінансовий аналітик,місто Новий Буг,"площа Лазурний 6-й, буд. 804, Білогірськ, 08418",+380 95 091 87 15,valentyn22@example.net
Вертипорох,Богодар,Євгенович,male,2004-07-04,Менеджер з продукту,село Одеса,"площа Горизонтальна, буд. 0, Краматорськ, 69811",+380 98 479-94-95,terezaiurchuk@example.org
Балабан,Данна,Костянтинівна,female,1957-03-04,Інженер з якості,хутір Стебник,"провулок Новоселів, буд. 5, Залізне, 35969",018 013-77-01,abalaban@example.org
Малишко,Юстина,Тарасівна,female,1993-10-27,Менеджер з продукту,хутір Гуляйполе,"вулиця Крилова, буд. 516 кв. 5, Мелітополь, 87641",072 011 55 16,alla63@example.org
Дрозд,Ярослав,Сергійович,male,1974-04-19,Менеджер з маркетингу,хутір Сарни,"площа Колекційна, буд. 55 кв. 449, Апостолове, 63994",+380 89 448-86-67,hennadiilaba@example.com
Гайда,Валентина,Олександрівна,female,1992-10-19,HR-менеджер,село Рогатин,"узвіз Садова 5-та, буд. 5, Рогатин, 50291",+380 74 067 12 39,onysym51@example.net
Бабариченко,Ярема,Максимович,male,1990-01-13,Офіс-менеджер,хутір Приморськ (Україна),"провулок Дюківський сад, буд. 49, Новомосковськ, 59176",+380 43 054 29 68,tokaromelian@example.com
Батюк,Адам,Марківич,male,1949-07-07,Бухгалтер,селище Першотравенськ,"вулиця Михайла Грушевського, буд. 15 кв. 14, Почаїв, 46064",+380 99 440-69-97,sementsushko@example.com
Романенко,Семен,Захарович,male,1966-08-20,Програміст,селище Нове Давидково,"сквер Яблучна, буд. 422 кв. 333, Моршин, 36584",207-74-14,arkadiidzhun@example.org
Філіпенко,Ілля,Геннадійович,male,1972-10-15,Аналітик даних,хутір Вовчанськ,"проспект Касима Юрія, буд. 806 кв. 14, Чернігів, 29887",827 70 62,ieromenkovarvara@example.com
Яременко,Єва,Володимирівна,female,1973-11-16,Менеджер з маркетингу,хутір Жовква,"парк Парашутний, буд. 688 кв. 017, Красноград, 86968",091 502 82 98,lutsenkoboleslav@example.org
Швачко,Максим,Давидович,male,1955-10-15,Менеджер з продукту,селище Тернівка ,"сквер Деволанівська, буд. 27, Сєвєродонецьк, 35117",676 48 56,filipenkosofiia@example.com
Мірошниченко,Георгій,Сергійович,male,1966-10-18,Програміст,село Сулимівка (Слов'янськ),"проспект Косовський, буд. 8 кв. 650, Вараш, 54658",+380 80 209-22-42,oprykhodko@example.org
Лисенко,Макар,Федорович,male,1951-05-11,Аудитор,хутір Дніпро ,"шосе Новоберегова, буд. 33, Верхівцеве, 67030",380-20-49,hanna73@example.org
Гайда,Сергій,Михайлович,male,1964-09-24,Офіс-менеджер,селище Ірпінь,"проспект 9-та Лінія Дачі Ковалевського, буд. 387, Деражня, 12749",625 59 82,ldashkevych@example.com
Яременко,Данна,Михайлівна,female,1985-02-17,Менеджер з продукту,селище Інкерман,"узвіз Сливова, буд. 68 кв. 16, Лохвиця, 47076",081 935 18 57,dashenkostefan@example.com
Абрагамовський,Аркадій,Олександрович,male,1982-02-06,Кадровий менеджер,селище Золоте,"сквер Чорноморська, буд. 89 кв. 24, Середина-Буда, 04106",076 931 64 62,liza50@example.org
Євдокименко,Петро,Леонідович,male,1983-01-21,Системний адміністратор,село Хотин,"шосе Тимірязєва 4-й, буд. 68, Алупка, 41363",031 393-50-44,iosyp74@example.net
Павленко,Вікторія,Станіславівна,female,1985-11-25,Інженер з якості,хутір Вашківці,"вулиця Рівності 2-й, буд. 01, Баштанка, 63368",400-34-58,teslenkopanas@example.net
